LAND_YEAR,COMMON_NAME,total_live_lbs,total_dollars,n_dealers,is_confidential
1993,"GROUPER, GAG",1751063.306980692,3565244.748317699,157,FALSE
1993,"GROUPER, RED",7437684.418377559,11696647.680014499,209,FALSE
1993,"GROUPER, YELLOWEDGE",810356.5037900128,1350988.0411779769,86,FALSE
1993,HOGFISH,87637.29578707826,122714.20588015806,83,FALSE
1993,"MACKEREL, KING",2093013.84,2321628.69,115,FALSE
1993,"MACKEREL, SPANISH",2581493.2467277073,1053496.7476966018,212,FALSE
1993,SCAMP,365295.972124105,709987.6884725537,133,FALSE
1993,"SNAPPER, GRAY",375896.366581729,553195.9249848004,231,FALSE
1993,"SNAPPER, MUTTON",238099.12301810662,370631.1598066073,120,FALSE
1993,"SNAPPER, RED",3419293.258912707,6618004.489912552,212,FALSE
1993,"SNAPPER, VERMILION",2722731.9245437444,4177447.458126016,164,FALSE
1993,"SNAPPER, YELLOWTAIL",1041339.7476647213,1897272.984454281,110,FALSE
1993,"TRIGGERFISH, GRAY",27860,20424,15,FALSE
1994,"AMBERJACK, GREATER",850590.4273464544,811865.3256092902,166,FALSE
1994,COBIA,229979.8172067927,351459.5312497694,216,FALSE
1994,"GROUPER, GAG",1518508.8564572292,3307519.6157910675,148,FALSE
1994,"GROUPER, RED",5740726.118411568,9830526.317930177,212,FALSE
1994,"GROUPER, YELLOWEDGE",1199693.4493552377,2287302.826150857,87,FALSE
1994,HOGFISH,55823.27362783667,85640.09031889257,92,FALSE
1994,"MACKEREL, KING",978127.04,1258203.5,125,FALSE
1994,"MACKEREL, SPANISH",2711807.1222271975,1139174.5900022434,220,FALSE
1994,SCAMP,250601.12592945702,529671.896810862,129,FALSE
1994,"SNAPPER, GRAY",368274.5043137179,568929.7225575467,252,FALSE
1994,"SNAPPER, MUTTON",161309.57109328883,267375.8073440196,107,FALSE
1994,"SNAPPER, RED",3249831.650847222,6579684.969921296,184,FALSE
1994,"SNAPPER, VERMILION",2642485.746438891,4162937.1583170635,165,FALSE
1994,"SNAPPER, YELLOWTAIL",1144569.1080077568,2147930.992297078,126,FALSE
1994,"TRIGGERFISH, GRAY",53761,35543,21,FALSE
1995,"AMBERJACK, GREATER",718365.8704094233,751895.8266335177,148,FALSE
