"COMMON_NAME","grand_total_lbs","grand_total_dollars"
"BLENNY, WRASSE",145,426.25
"SQUIRRELFISH, DEEPWATER",142,314.5
"BLUEGILL",141.54,503.07
"GREEN FROG",138,250.8
"GOBY, YELLOWLINE",123,135.5
"RAVEN, SEA",123,492
"RAY, BAT",120,16.25
"CUBBYU",118,607.1
"EEL, SHARPTAIL",109,216.25
"FLOUNDER, FOURSPOT",106,173
"TRUMPETFISH",104,331.75
"STAR, CUSHIONED",97,3
"mooneye",95,19
"REEFFISH,YELLOWTAIL",93,207.25
"BLENNY, BARRED",89,148.55
"DIAMONDBACK WATER SNAKE",83,373.5
"HADDOCK",83,120
"PERCH, DWARF SAND",80,264.5
"RIBBON SNAKES",79,143
"BIGEYE, SHORT",67.04,75.4
"COWRIE, ATLANTIC GRAY",64,101.85
"FROGFISHES",56,552
"SOAPFISHES",51.38,54.55
"PIG FROG",50,50
"MARGATE, BLACK",46,2296
"POLYCHAETE, FIREWORM",45,471.5
"DAMSELFISH, LONGFIN",40,115.5
"SOUTHERN WATER SNAKE",40,180
"ROUGH GREEN SNAKE",34,68
"SCORPIONFISH, LONGSNOUT",31.2,40.75
"BASSLET, THREELINE",26,96.7
"BLACKFISH, SACRAMENTO",26,7
"BARBIER, RED",25,427
"SPONGE, GLOVE",23,399
"WRASSE, BLACKEAR",23,69.37
"SWEEPER, GLASSY",22,66.5
"TURTLE, RAZOR-BACKED MUSK",22,19.8
"BASS, THREADNOSE",19,1900
"CORNETFISH, BLUESPOTTED",15,3
"RAYS, EAGLE",13,226
"CORNETFISH, RED",12,10.5
"BASS, WRASSE",10,304
"ARMORHEAD, PELAGIC",9,14
"BROTULA, KEY",9,35.8
"SALMON, ATLANTIC",9,5
"sardines, scaly ",9,2.7
"HAKE, OFFSHORE",8,6
"BASS, ROUGHTONGUE",5,250
"SPLITTAIL",5,120
"REDBELLY WATER SNAKE",4,18
"CUCUMBER, FISSURED SEA",3,10.5
"DRAGONETS",3,17.6
"EUROPEAN SPADEFOOT TOADS",3,0.75
"ORECTODERUS MONTANUS",3,400
"TURTLE, THREE-TOED BOX",3,0.6
"BROTULA, BLACK",2,5
"Peritrechus tristis",2,3.25
"REDFISHES",2,2.5
"HAMLET, MUTTON",1,15
"MOONEYES",1,1
