LAND_YEAR,guild,total_live_lbs,total_dollars,n_dealers,is_confidential
2014,Porgies & Grunts,310179.05,389773.351,84,FALSE
2014,Snappers & Groupers,522923.11,1707266.8496,120,FALSE
2015,Jacks,524239.59,436494.235,133,FALSE
2015,Other Reef Fish,593341.61,1574346.05,55,FALSE
2015,Porgies & Grunts,254228,322613.028,89,FALSE
2015,Snappers & Groupers,395399.44,1334559.726,123,FALSE
2016,Jacks,557179.47,482801.202,131,FALSE
2016,Other Reef Fish,470568.08,1270564.29,51,FALSE
2016,Porgies & Grunts,201290.44,265689.676,85,FALSE
2016,Snappers & Groupers,369539.71,1267212.1,123,FALSE
2017,Jacks,536225.36,462670.58,136,FALSE
2017,Other Reef Fish,546741.43,1484742.46,55,FALSE
2017,Porgies & Grunts,166568.41,226142.26,80,FALSE
2017,Snappers & Groupers,348070.46,1224169.102,127,FALSE
2018,Jacks,375818.78,342659.917,120,FALSE
2018,Other Reef Fish,402005.04000000004,1012070.83,53,FALSE
2018,Porgies & Grunts,170343.76,248144.72,98,FALSE
2018,Snappers & Groupers,348940.34,1361483.378,127,FALSE
2019,Jacks,521733.46,485657.3568,138,FALSE
2019,Other Reef Fish,475771.56,1243931.75,57,FALSE
2019,Porgies & Grunts,158602.88,247640.596,93,FALSE
2019,Snappers & Groupers,353386.51,1458162.2231,122,FALSE
2020,Jacks,433464.21,396265.96,128,FALSE
2020,Other Reef Fish,378883.37,990124.9148,51,FALSE
2020,Porgies & Grunts,143077.92,224472.5674,89,FALSE
2020,Snappers & Groupers,290303.8,1235667.692,114,FALSE
2021,Jacks,454756.94,450191.685,118,FALSE
2021,Other Reef Fish,516459.07,1502200.56,45,FALSE
2021,Porgies & Grunts,163240.73,272090.891,82,FALSE
2021,Snappers & Groupers,271903.08,1248728.0046,103,FALSE
2022,Jacks,339618.37,381051.81,109,FALSE
2022,Other Reef Fish,416721.29000000004,1396537.01,48,FALSE
2022,Porgies & Grunts,149424.08000000002,280880.7206,75,FALSE
2022,Snappers & Groupers,240245.26,1237654.3711,96,FALSE
2023,Jacks,228491.26,279420.64,121,FALSE
2023,Other Reef Fish,338063.05,1208548.8968,51,FALSE
2023,Porgies & Grunts,168575.76,318326.8049,73,FALSE
2023,Snappers & Groupers,269148.69,1475758.8805,96,FALSE
2024,Jacks,110023.75,146328.4135,104,FALSE
2024,Other Reef Fish,284657.87,1055260.4792,50,FALSE
2024,Porgies & Grunts,133923.04,258808.4062,79,FALSE
2024,Snappers & Groupers,237082.79,1297676.0385,100,FALSE
2025,Jacks,85488.35,126992.03600000001,81,FALSE
2025,Other Reef Fish,190695.59,769822.98,40,FALSE
2025,Porgies & Grunts,59082.81,119778.2986,61,FALSE
2025,Snappers & Groupers,169590.06,921408.7422,82,FALSE
