"lon","lat","elevation","sector","color"
-96.3083333333333,26.275,-209.625,"West","#e63946"
-96.2916666666667,26.275,-286,"West","#e63946"
-96.275,26.275,-350.625,"West","#e63946"
-96.2583333333333,26.275,-414.1875,"West","#e63946"
-96.2416666666667,26.275,-465.0625,"West","#e63946"
-96.425,26.2916666666667,-71.375,"West","#e63946"
-96.4083333333333,26.2916666666667,-74.875,"West","#e63946"
-96.3916666666667,26.2916666666667,-75.625,"West","#e63946"
-96.375,26.2916666666667,-78.8125,"West","#e63946"
-96.3583333333333,26.2916666666667,-86.8125,"West","#e63946"
-96.3416666666667,26.2916666666667,-100.625,"West","#e63946"
-96.325,26.2916666666667,-130.125,"West","#e63946"
-96.3083333333333,26.2916666666667,-197.5625,"West","#e63946"
-96.2916666666667,26.2916666666667,-267.75,"West","#e63946"
-96.275,26.2916666666667,-341.625,"West","#e63946"
-96.2583333333333,26.2916666666667,-416.875,"West","#e63946"
-96.2416666666667,26.2916666666667,-470.6875,"West","#e63946"
-96.425,26.3083333333333,-71.75,"West","#e63946"
-96.4083333333333,26.3083333333333,-74.1875,"West","#e63946"
-96.3916666666667,26.3083333333333,-75.75,"West","#e63946"
-96.375,26.3083333333333,-77.5625,"West","#e63946"
-96.3583333333333,26.3083333333333,-83.8125,"West","#e63946"
-96.3416666666667,26.3083333333333,-99.3125,"West","#e63946"
-96.325,26.3083333333333,-124.125,"West","#e63946"
-96.3083333333333,26.3083333333333,-192.5625,"West","#e63946"
-96.2916666666667,26.3083333333333,-265.125,"West","#e63946"
-96.275,26.3083333333333,-343.8125,"West","#e63946"
-96.2583333333333,26.3083333333333,-421.375,"West","#e63946"
-96.2416666666667,26.3083333333333,-479.4375,"West","#e63946"
-96.4416666666667,26.325,-70.9375,"West","#e63946"
-96.425,26.325,-72.6875,"West","#e63946"
-96.4083333333333,26.325,-73.9375,"West","#e63946"
-96.3916666666667,26.325,-76.3125,"West","#e63946"
-96.375,26.325,-77.375,"West","#e63946"
-96.3583333333333,26.325,-83.0625,"West","#e63946"
-96.3416666666667,26.325,-99.125,"West","#e63946"
-96.325,26.325,-120.5,"West","#e63946"
-96.3083333333333,26.325,-190.4375,"West","#e63946"
-96.2916666666667,26.325,-271.8125,"West","#e63946"
-96.275,26.325,-351.5625,"West","#e63946"
-96.2583333333333,26.325,-427.5625,"West","#e63946"
-96.2416666666667,26.325,-479.625,"West","#e63946"
-96.4416666666667,26.3416666666667,-71.6875,"West","#e63946"
-96.425,26.3416666666667,-72.8125,"West","#e63946"
-96.4083333333333,26.3416666666667,-73.1875,"West","#e63946"
-96.3916666666667,26.3416666666667,-77.1875,"West","#e63946"
-96.375,26.3416666666667,-79.5625,"West","#e63946"
-96.3583333333333,26.3416666666667,-83.625,"West","#e63946"
-96.3416666666667,26.3416666666667,-97.125,"West","#e63946"
-96.325,26.3416666666667,-119.875,"West","#e63946"
-96.3083333333333,26.3416666666667,-197.3125,"West","#e63946"
-96.2916666666667,26.3416666666667,-281.6875,"West","#e63946"
-96.275,26.3416666666667,-363.6875,"West","#e63946"
-96.2583333333333,26.3416666666667,-434.875,"West","#e63946"
-96.2416666666667,26.3416666666667,-472.8125,"West","#e63946"
-96.4416666666667,26.3583333333333,-73,"West","#e63946"
-96.425,26.3583333333333,-73.75,"West","#e63946"
-96.4083333333333,26.3583333333333,-74.5625,"West","#e63946"
-96.3916666666667,26.3583333333333,-76.875,"West","#e63946"
-96.375,26.3583333333333,-80,"West","#e63946"
-96.3583333333333,26.3583333333333,-85.125,"West","#e63946"
-96.3416666666667,26.3583333333333,-99.25,"West","#e63946"
-96.325,26.3583333333333,-121.6875,"West","#e63946"
-96.3083333333333,26.3583333333333,-208,"West","#e63946"
-96.2916666666667,26.3583333333333,-302.0625,"West","#e63946"
-96.275,26.3583333333333,-383.375,"West","#e63946"
-96.2583333333333,26.3583333333333,-450.3125,"West","#e63946"
-96.4583333333333,26.375,-70.25,"West","#e63946"
-96.4416666666667,26.375,-73.625,"West","#e63946"
-96.425,26.375,-75.6875,"West","#e63946"
-96.4083333333333,26.375,-76.625,"West","#e63946"
-96.3916666666667,26.375,-77.375,"West","#e63946"
-96.375,26.375,-79.375,"West","#e63946"
-96.3583333333333,26.375,-87.0625,"West","#e63946"
-96.3416666666667,26.375,-101.6875,"West","#e63946"
-96.325,26.375,-123.6875,"West","#e63946"
-96.3083333333333,26.375,-205.5625,"West","#e63946"
-96.2916666666667,26.375,-302.8125,"West","#e63946"
-96.275,26.375,-379.5,"West","#e63946"
-96.2583333333333,26.375,-449.625,"West","#e63946"
-96.4583333333333,26.3916666666667,-71.9375,"West","#e63946"
-96.4416666666667,26.3916666666667,-73.4375,"West","#e63946"
-96.425,26.3916666666667,-75.625,"West","#e63946"
-96.4083333333333,26.3916666666667,-77.5,"West","#e63946"
-96.3916666666667,26.3916666666667,-79.0625,"West","#e63946"
-96.375,26.3916666666667,-82.4375,"West","#e63946"
-96.3583333333333,26.3916666666667,-93.6875,"West","#e63946"
-96.3416666666667,26.3916666666667,-108.25,"West","#e63946"
-96.325,26.3916666666667,-132.0625,"West","#e63946"
-96.3083333333333,26.3916666666667,-218.6875,"West","#e63946"
-96.2916666666667,26.3916666666667,-316.375,"West","#e63946"
-96.275,26.3916666666667,-391.5625,"West","#e63946"
-96.2583333333333,26.3916666666667,-461.25,"West","#e63946"
-96.475,26.4083333333333,-70.4375,"West","#e63946"
-96.4583333333333,26.4083333333333,-72.5,"West","#e63946"
-96.4416666666667,26.4083333333333,-74.75,"West","#e63946"
-96.425,26.4083333333333,-76.6875,"West","#e63946"
-96.4083333333333,26.4083333333333,-78.0625,"West","#e63946"
-96.3916666666667,26.4083333333333,-80.5,"West","#e63946"
-96.375,26.4083333333333,-86.4375,"West","#e63946"
-96.3583333333333,26.4083333333333,-98.5,"West","#e63946"
-96.3416666666667,26.4083333333333,-112.6875,"West","#e63946"
-96.325,26.4083333333333,-146.125,"West","#e63946"
-96.3083333333333,26.4083333333333,-234.6875,"West","#e63946"
-96.2916666666667,26.4083333333333,-328.5625,"West","#e63946"
-96.275,26.4083333333333,-397.1875,"West","#e63946"
-96.2583333333333,26.4083333333333,-457.25,"West","#e63946"
-96.4916666666667,26.425,-70.5625,"West","#e63946"
-96.475,26.425,-72,"West","#e63946"
-96.4583333333333,26.425,-73.4375,"West","#e63946"
-96.4416666666667,26.425,-74.9375,"West","#e63946"
-96.425,26.425,-77.0625,"West","#e63946"
-96.4083333333333,26.425,-79.125,"West","#e63946"
-96.3916666666667,26.425,-83.5625,"West","#e63946"
-96.375,26.425,-89.9375,"West","#e63946"
-96.3583333333333,26.425,-101.0625,"West","#e63946"
-96.3416666666667,26.425,-117.4375,"West","#e63946"
-96.325,26.425,-157.25,"West","#e63946"
-96.3083333333333,26.425,-256,"West","#e63946"
-96.2916666666667,26.425,-333.4375,"West","#e63946"
-96.275,26.425,-397.875,"West","#e63946"
-96.2583333333333,26.425,-459.4375,"West","#e63946"
-96.4916666666667,26.4416666666667,-71.125,"West","#e63946"
-96.475,26.4416666666667,-72.625,"West","#e63946"
-96.4583333333333,26.4416666666667,-74.0625,"West","#e63946"
-96.4416666666667,26.4416666666667,-76.75,"West","#e63946"
-96.425,26.4416666666667,-78.5,"West","#e63946"
-96.4083333333333,26.4416666666667,-81.0625,"West","#e63946"
-96.3916666666667,26.4416666666667,-87.0625,"West","#e63946"
-96.375,26.4416666666667,-94.0625,"West","#e63946"
-96.3583333333333,26.4416666666667,-104.75,"West","#e63946"
-96.3416666666667,26.4416666666667,-122.8125,"West","#e63946"
-96.325,26.4416666666667,-179.3125,"West","#e63946"
-96.3083333333333,26.4416666666667,-277.3125,"West","#e63946"
-96.2916666666667,26.4416666666667,-351.1875,"West","#e63946"
-96.275,26.4416666666667,-410.875,"West","#e63946"
-96.2583333333333,26.4416666666667,-467,"West","#e63946"
-96.5083333333333,26.4583333333333,-71.3125,"West","#e63946"
-96.4916666666667,26.4583333333333,-72.5625,"West","#e63946"
-96.475,26.4583333333333,-74.5,"West","#e63946"
-96.4583333333333,26.4583333333333,-77.5,"West","#e63946"
-96.4416666666667,26.4583333333333,-79.75,"West","#e63946"
-96.425,26.4583333333333,-81.5625,"West","#e63946"
-96.4083333333333,26.4583333333333,-86.25,"West","#e63946"
-96.3916666666667,26.4583333333333,-93.75,"West","#e63946"
-96.375,26.4583333333333,-100.4375,"West","#e63946"
-96.3583333333333,26.4583333333333,-110,"West","#e63946"
-96.3416666666667,26.4583333333333,-138.75,"West","#e63946"
-96.325,26.4583333333333,-208.5625,"West","#e63946"
-96.3083333333333,26.4583333333333,-297.4375,"West","#e63946"
-96.2916666666667,26.4583333333333,-363.1875,"West","#e63946"
-96.275,26.4583333333333,-421.75,"West","#e63946"
-96.2583333333333,26.4583333333333,-482,"West","#e63946"
-96.525,26.475,-70.125,"West","#e63946"
-96.5083333333333,26.475,-73.9375,"West","#e63946"
-96.4916666666667,26.475,-76.375,"West","#e63946"
-96.475,26.475,-79.0625,"West","#e63946"
-96.4583333333333,26.475,-82.4375,"West","#e63946"
-96.4416666666667,26.475,-83.9375,"West","#e63946"
-96.425,26.475,-85.8125,"West","#e63946"
-96.4083333333333,26.475,-91.125,"West","#e63946"
-96.3916666666667,26.475,-99.875,"West","#e63946"
-96.375,26.475,-105.375,"West","#e63946"
-96.3583333333333,26.475,-116.5,"West","#e63946"
-96.3416666666667,26.475,-159.25,"West","#e63946"
-96.325,26.475,-233.375,"West","#e63946"
-96.3083333333333,26.475,-313.3125,"West","#e63946"
-96.2916666666667,26.475,-369.4375,"West","#e63946"
